date,NIP,initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,spreadDiscount,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating,month,zSpread,zSpreadTrailing,MOVE,MOVETrailing,MOVERetsTrailing,iboxxRetsTrailing
2022-09-15,22.4913710508856,0.9,2.75,3.0,0.2360000000000002,0.5786317837436625,1.0986122886681098,1,4,500.0,6.214608098422191,8.0,9,0.2396709173,0.2316030489227273,1.2534999999999998,1.2620714285714287,-0.0300239882380252,-0.0438954000000003
2022-09-15,20.8431962157611,1.75,4.0,4.0,1.497,0.7958096509386179,1.3862943611198906,0,4,750.0,6.620073206530356,7.0,9,0.2396709173,0.2316030489227273,1.2534999999999998,1.2620714285714287,-0.0300239882380252,-0.0438954000000003
2022-09-15,5.3680146385300045,0.17,2.5,6.0,-0.0019999999999993,-0.0087795865360003,1.791759469228055,0,1,500.0,6.214608098422191,1.0,9,0.2396709173,0.2316030489227273,1.2534999999999998,1.2620714285714287,-0.0300239882380252,-0.0438954000000003
2022-09-19,3.964583665952371,0.01,2.375,4.4,-0.1631654382861214,-0.1306909854434763,1.4816045409242156,0,1,1000.0,6.907755278982137,1.0,9,0.2845563597,0.2350365188681818,1.2495,1.2689714285714284,0.0363274446379697,0.1593126999999996
2022-09-19,85.00427954609768,2.5,5.0,2.0,2.412,0.6708012855929009,0.6931471805599453,0,2,150.0,5.010635294096256,8.5,9,0.2845563597,0.2350365188681818,1.2495,1.2689714285714284,0.0363274446379697,0.1593126999999996
2022-09-20,6.850283409394021,1.35,3.5,7.0,0.8529999999999999,0.4184959136628135,1.9459101490553128,1,4,650.0,6.476972362889683,8.0,9,0.2794601346,0.2367788521523809,1.3379,1.27728,0.0914504813183227,0.2309936999999996
2022-09-20,2.913969930032964,0.24,2.875,4.0,0.2110000000000003,0.190135175047489,1.3862943611198906,0,1,500.0,6.214608098422191,2.0,9,0.2794601346,0.2367788521523809,1.3379,1.27728,0.0914504813183227,0.2309936999999996
2022-09-20,7.157159681161877,1.25,3.625,4.0,0.9610000000000002,0.2050128676399881,1.3862943611198906,0,2,1500.0,7.313220387090301,5.0,9,0.2794601346,0.2367788521523809,1.3379,1.27728,0.0914504813183227,0.2309936999999996
2022-09-20,2.865285654156404,0.16,2.625,7.0,-0.0220000000000002,-0.0357707855945067,1.9459101490553128,0,1,1000.0,6.907755278982137,8.5,9,0.2794601346,0.2367788521523809,1.3379,1.27728,0.0914504813183227,0.2309936999999996
2022-09-26,38.84074998610451,1.15,4.125,4.0,1.0099999999999998,0.5060913941342542,1.3862943611198906,1,4,500.0,6.214608098422191,8.5,9,0.2794975581,0.2474359905681818,1.3728,1.279095238095238,0.2355323553235533,0.3401620999999996
2022-09-27,12.5837262123652,0.37,3.25,3.0,0.129,0.3228745479802423,1.0986122886681098,0,1,250.0,5.521460917862246,3.0,9,0.2721461301,0.2525765054380952,1.5361000000000002,1.295215,0.4453330824237864,0.1162716999999996
2022-09-28,1.4954219759997156,0.35,3.5,5.5,0.4505725284650785,0.2619028451022853,1.7047480922384253,0,1,500.0,6.214608098422191,1.0,9,0.2774735093,0.2537081874318181,1.5812,1.3088333333333335,0.3892110349674926,0.1209216999999996
2022-10-04,3.8839144010644926,0.19,2.812,3.0,0.1789999999999998,0.086277474766716,1.0986122886681098,0,1,750.0,6.620073206530356,8.5,10,0.2232587151999999,0.2557124979619048,1.5294,1.36027,0.2352798643082141,0.0222363999999996
2022-10-04,22.472707244961324,1.75,3.875,7.5,1.1204638482114344,0.7007090438702264,2.0149030205422647,1,4,500.0,6.214608098422191,9.0,10,0.2232587151999999,0.2557124979619048,1.5294,1.36027,0.2352798643082141,0.0222363999999996
2022-10-04,28.392888366125867,2.2,4.625,3.5,1.9804787889651871,0.7111324453810655,1.252762968495368,0,3,500.0,6.214608098422191,8.0,10,0.2232587151999999,0.2557124979619048,1.5294,1.36027,0.2352798643082141,0.0222363999999996
2022-10-04,3.623536071119599,0.17,2.75,4.0,0.0870000000000006,0.0304631626974057,1.3862943611198906,0,1,1000.0,6.907755278982137,1.0,10,0.2232587151999999,0.2557124979619048,1.5294,1.36027,0.2352798643082141,0.0222363999999996
2022-10-04,1.9524507021960784,0.55,1.0,5.0,-1.694,0.4596595920106152,1.6094379124341005,0,1,500.0,6.214608098422191,3.0,10,0.2232587151999999,0.2557124979619048,1.5294,1.36027,0.2352798643082141,0.0222363999999996
2022-10-05,4.626791929235631,0.12,2.75,6.0,-0.1209999999999995,0.0333924824797652,1.791759469228055,0,1,1850.0,7.52294091807237,1.0,10,0.2612569428,0.2559645181818182,1.5121,1.3675,0.1127382441680773,0.1899650999999996
2022-10-05,17.15432423793982,2.2,4.75,3.0,1.9935,0.5797168319969237,1.0986122886681098,0,4,750.0,6.620073206530356,9.0,10,0.2612569428,0.2559645181818182,1.5121,1.3675,0.1127382441680773,0.1899650999999996
2022-10-05,-0.1179966908754875,1.775,4.375,7.0,1.495,0.6818848624873439,1.9459101490553128,0,2,1250.0,7.1308988302963465,6.0,10,0.2612569428,0.2559645181818182,1.5121,1.3675,0.1127382441680773,0.1899650999999996
2022-10-06,14.296706204386464,1.05,3.625,5.0,0.6509999999999998,0.1664880036712041,1.6094379124341005,0,2,500.0,6.214608098422191,8.5,10,0.2498325168,0.2574908214045454,1.5201,1.3744363636363637,0.1356742622338438,0.1456546999999996
2022-10-06,4.160618501706917,0.08,2.875,6.0,-0.1190000000000002,0.04809119037102,1.791759469228055,0,1,750.0,6.620073206530356,8.5,10,0.2498325168,0.2574908214045454,1.5201,1.3744363636363637,0.1356742622338438,0.1456546999999996
2022-10-06,8.968530059606934,0.85,3.25,3.0,0.3429999999999999,0.3602005354129896,1.0986122886681098,1,4,500.0,6.214608098422191,8.0,10,0.2498325168,0.2574908214045454,1.5201,1.3744363636363637,0.1356742622338438,0.1456546999999996
2022-10-06,-17.801527593972196,1.9,4.5,5.0,1.5259999999999996,0.4876331386751113,1.6094379124341005,1,4,500.0,6.214608098422191,9.0,10,0.2498325168,0.2574908214045454,1.5201,1.3744363636363637,0.1356742622338438,0.1456546999999996
2022-10-07,22.74292512337078,0.9,3.375,10.0,0.1720000000000006,-0.1132360145818255,2.302585092994046,1,4,650.0,6.476972362889683,7.0,10,0.225737472,0.2586878083727272,1.5329,1.3834136363636362,0.1514309321715616,0.0848303999999996
2022-10-11,13.271440938453113,1.15,4.125,4.5,0.9684423104971772,0.2068726675834661,1.5040773967762742,0,2,500.0,6.214608098422191,8.5,10,0.2100396813,0.2533443486238095,1.4846,1.3903863636363636,0.1751761260191562,-0.1788133000000003
2022-10-11,19.475169956266026,-0.06,2.75,2.0,-0.2569999999999997,-0.1397452071583246,0.6931471805599453,0,1,1200.0,7.090076835776092,1.0,10,0.2100396813,0.2533443486238095,1.4846,1.3903863636363636,0.1751761260191562,-0.1788133000000003
2022-10-11,6.258050987519641,0.15,3.25,7.25,-0.0099722012091909,0.0348003177033043,1.9810014688665836,0,1,1000.0,6.907755278982137,8.5,10,0.2100396813,0.2533443486238095,1.4846,1.3903863636363636,0.1751761260191562,-0.1788133000000003
2022-10-11,16.470637094842605,0.85,3.75,4.0,0.6385000000000005,0.09508131029794,1.3862943611198906,1,4,500.0,6.214608098422191,8.0,10,0.2100396813,0.2533443486238095,1.4846,1.3903863636363636,0.1751761260191562,-0.1788133000000003
2022-10-11,12.62407160530756,0.7,3.25,1.5,0.3995999999999999,0.2945927376514344,0.4054651081081644,1,4,500.0,6.214608098422191,8.0,10,0.2100396813,0.2533443486238095,1.4846,1.3903863636363636,0.1751761260191562,-0.1788133000000003
2022-10-12,-1.723068011186351,0.18,3.25,4.3,0.1701304521945585,0.1160099405670095,1.4586150226995167,0,1,500.0,6.214608098422191,8.5,10,0.1965314171,0.2507619426454545,1.5557,1.4136857142857142,0.2653111020740137,-0.2117923000000003
2022-10-12,-2.1204233667459333,0.16,3.25,4.0,0.1869999999999998,0.1073389707214097,1.3862943611198906,0,1,500.0,6.214608098422191,8.5,10,0.1965314171,0.2507619426454545,1.5557,1.4136857142857142,0.2653111020740137,-0.2117923000000003
2022-10-12,0.5267308591484066,0.02,3.125,5.0,0.0090000000000003,0.0604053359904038,1.6094379124341005,0,1,500.0,6.214608098422191,1.0,10,0.1965314171,0.2507619426454545,1.5557,1.4136857142857142,0.2653111020740137,-0.2117923000000003
2022-10-12,1.6974391314020365,0.2,3.246,3.0,0.2379999999999999,0.0834968225558681,1.0986122886681098,0,1,1000.0,6.907755278982137,8.5,10,0.1965314171,0.2507619426454545,1.5557,1.4136857142857142,0.2653111020740137,-0.2117923000000003
2022-10-17,3.1703801741491096,0.05,3.0,4.25,-0.1065422632774777,0.0503121040688882,1.4469189829363254,0,1,650.0,6.476972362889683,2.0,10,0.2844381617,0.2518373394772727,1.5289,1.4572095238095235,0.2246876001281639,-0.0718746000000003
2022-10-17,2.267528156953066,0.15,3.125,5.25,-0.0052300392841067,0.0679848561705221,1.6582280766035324,0,1,1750.0,7.467371066917559,1.0,10,0.2844381617,0.2518373394772727,1.5289,1.4572095238095235,0.2246876001281639,-0.0718746000000003
2022-10-18,7.612610106839893,0.08,3.0,3.0,-0.0279999999999995,0.0292779521918857,1.0986122886681098,0,1,1500.0,7.313220387090301,1.0,10,0.2741543116,0.2506136408190476,1.5042,1.48077,0.1883393901090218,-0.3104794000000003
2022-10-18,4.84334705719465,0.02,3.0,5.0,-0.1019999999999994,0.0129510419278672,1.6094379124341005,0,1,750.0,6.620073206530356,1.0,10,0.2741543116,0.2506136408190476,1.5042,1.48077,0.1883393901090218,-0.3104794000000003
2022-10-18,6.301328930152988,1.2,4.0,7.0,0.8895000000000004,0.2159614670325083,1.9459101490553128,0,4,500.0,6.214608098422191,5.0,10,0.2741543116,0.2506136408190476,1.5042,1.48077,0.1883393901090218,-0.3104794000000003
2022-10-19,14.835293043102372,2.8,5.75,5.25,2.586321217533962,0.284627677391316,1.6582280766035324,0,2,500.0,6.214608098422191,8.5,10,0.3126872324,0.2534351677090909,1.4579,1.4796809523809524,0.2076706428098078,-0.2883613000000003
2022-10-19,3.809270701787157,0.2,3.25,4.0,0.1269999999999997,0.0589696295863004,1.3862943611198906,0,1,1250.0,7.1308988302963465,1.0,10,0.3126872324,0.2534351677090909,1.4579,1.4796809523809524,0.2076706428098078,-0.2883613000000003
2022-10-20,9.420246803617657,0.09,3.125,3.5,-0.0570395199558717,0.037250664882496,1.252762968495368,0,1,500.0,6.214608098422191,2.0,10,0.3275898846,0.2556228836181818,1.4772999999999998,1.4863190476190475,0.1062602965403625,-0.3199886000000003
2022-10-20,17.34547489700341,1.75,4.625,5.25,1.3888903822045813,0.0593077937683629,1.6582280766035324,0,3,1000.0,6.907755278982137,7.0,10,0.3275898846,0.2556228836181818,1.4772999999999998,1.4863190476190475,0.1062602965403625,-0.3199886000000003
2022-10-24,16.505716196687903,2.2,5.23,5.0,2.1705000000000005,0.358560409632003,1.6094379124341005,0,4,500.0,6.214608098422191,8.5,10,0.345759479,0.25977423785,1.5695,1.5088714285714286,0.2642983728048975,-0.1431089000000003
2022-10-24,-15.315766107411024,2.95,5.75,5.0,2.6905,0.1566867511264848,1.6094379124341005,0,2,500.0,6.214608098422191,10.0,10,0.345759479,0.25977423785,1.5695,1.5088714285714286,0.2642983728048975,-0.1431089000000003
2022-10-24,8.421175688622624,0.2,3.125,5.0,0.0655000000000001,0.0274514636209767,1.6094379124341005,0,1,750.0,6.620073206530356,8.5,10,0.345759479,0.25977423785,1.5695,1.5088714285714286,0.2642983728048975,-0.1431089000000003
2022-10-24,31.21637013198902,1.8,4.625,9.5,1.4532431307333094,0.9332523907183898,2.2512917986064958,1,4,1250.0,7.1308988302963465,7.0,10,0.345759479,0.25977423785,1.5695,1.5088714285714286,0.2642983728048975,-0.1431089000000003
2022-10-25,6.588641935713165,0.875,3.25,6.0,0.3199999999999994,0.4025110201787104,1.791759469228055,1,4,600.0,6.396929655216146,8.0,10,0.3336990145,0.261601653547619,1.5402,1.52672,0.2672371235807143,0.0578787999999996
2022-10-25,5.973641970596311,0.17,3.0,4.0,0.0794999999999999,0.092962393011017,1.3862943611198906,0,1,750.0,6.620073206530356,1.0,10,0.3336990145,0.261601653547619,1.5402,1.52672,0.2672371235807143,0.0578787999999996
2022-10-25,9.545868365755954,1.075,3.75,5.0,0.8340000000000001,0.0891903133494021,1.6094379124341005,0,2,750.0,6.620073206530356,8.5,10,0.3336990145,0.261601653547619,1.5402,1.52672,0.2672371235807143,0.0578787999999996
2022-10-26,37.323147415542266,2.4,5.0,10.0,2.026,1.1846769957881391,2.302585092994046,1,4,900.0,6.802394763324311,9.0,10,0.3163554603,0.2640904629454546,1.4778,1.5243904761904763,0.2007800438774682,0.0368691999999996
2022-10-26,7.429686881039518,1.4,4.0,9.5,1.0293183615604664,0.0095716865790809,2.2512917986064958,1,4,550.0,6.309918278226516,7.0,10,0.3163554603,0.2640904629454546,1.4778,1.5243904761904763,0.2007800438774682,0.0368691999999996
2022-10-26,29.60871786662261,2.0,4.625,6.0,1.7219999999999995,1.0925704236869545,1.791759469228055,1,4,800.0,6.684611727667927,9.0,10,0.3163554603,0.2640904629454546,1.4778,1.5243904761904763,0.2007800438774682,0.0368691999999996
2022-11-02,12.799088494611553,0.7,3.25,5.0,0.31,0.5164703600015431,1.6094379124341005,1,4,500.0,6.214608098422191,7.0,11,0.2553144448,0.2691972326136364,1.4842,1.5068523809523808,0.1093504746244113,0.5696985999999996
2022-11-02,20.78022191768632,1.0,3.5,10.0,0.4435000000000002,0.1597619582656055,2.302585092994046,1,4,600.0,6.396929655216146,7.0,11,0.2553144448,0.2691972326136364,1.4842,1.5068523809523808,0.1093504746244113,0.5696985999999996
2022-11-02,16.563254925477068,1.425,4.0,4.0,1.0990000000000002,0.1367544106771321,1.3862943611198906,0,3,1000.0,6.907755278982137,7.0,11,0.2553144448,0.2691972326136364,1.4842,1.5068523809523808,0.1093504746244113,0.5696985999999996
2022-11-07,6.3272094953032845,0.16,3.125,3.0,0.0489999999999994,0.0280533247761625,1.0986122886681098,0,1,500.0,6.214608098422191,1.0,11,0.2647981531,0.2716746988818181,1.2844,1.482914285714286,-0.0264534222693852,0.6317550999999997
2022-11-07,7.962259027882007,0.16,3.125,4.5,0.0461225831455003,0.0433880094439663,1.5040773967762742,0,1,1450.0,7.27931883541462,1.0,11,0.2647981531,0.2716746988818181,1.2844,1.482914285714286,-0.0264534222693852,0.6317550999999997
2022-11-07,1.862356573378068,0.5,3.25,8.25,0.1366264416641454,0.3530424145627924,2.110213200346589,1,4,500.0,6.214608098422191,8.5,11,0.2647981531,0.2716746988818181,1.2844,1.482914285714286,-0.0264534222693852,0.6317550999999997
2022-11-07,0.7669037153661962,0.3,3.0,5.5,-0.087152643743201,0.4439559265285988,1.7047480922384253,1,4,500.0,6.214608098422191,8.5,11,0.2647981531,0.2716746988818181,1.2844,1.482914285714286,-0.0264534222693852,0.6317550999999997
2022-11-07,-0.6147480511093496,0.95,3.75,3.0,0.6739999999999995,0.1638385948133165,1.0986122886681098,0,2,1000.0,6.907755278982137,5.0,11,0.2647981531,0.2716746988818181,1.2844,1.482914285714286,-0.0264534222693852,0.6317550999999997
2022-11-07,-2.925782014356227,0.6,3.375,12.0,0.1920000000000001,0.3791929048907846,2.4849066497880004,1,4,500.0,6.214608098422191,4.0,11,0.2647981531,0.2716746988818181,1.2844,1.482914285714286,-0.0264534222693852,0.6317550999999997
2022-11-07,-11.592300911834718,1.625,4.25,5.25,1.1642052302352122,0.605930909842531,1.6582280766035324,1,4,750.0,6.620073206530356,8.5,11,0.2647981531,0.2716746988818181,1.2844,1.482914285714286,-0.0264534222693852,0.6317550999999997
2022-11-08,12.520968861538456,0.05,3.0,4.7,-0.0087113962950167,0.0767105239058346,1.547562508716013,0,1,1000.0,6.907755278982137,1.0,11,0.2893126812,0.2780425433428571,1.2833,1.47035,-0.0651952214452213,0.8848682999999996
2022-11-08,5.495059401560845,0.25,3.25,5.0,0.241,0.1509681356747101,1.6094379124341005,0,1,300.0,5.703782474656201,8.5,11,0.2893126812,0.2780425433428571,1.2833,1.47035,-0.0651952214452213,0.8848682999999996
2022-11-09,14.849017455615732,1.65,4.25,10.0,1.3079999999999992,0.6081478509160869,2.302585092994046,0,2,1250.0,7.1308988302963465,6.0,11,0.31247072,0.2796074604636363,1.2633,1.460490476190476,-0.1775926046481349,0.9286746999999996
2022-11-09,7.699530038320452,1.375,4.0,7.0,1.1080000000000003,0.2001662324494498,1.9459101490553128,0,2,750.0,6.620073206530356,5.0,11,0.31247072,0.2796074604636363,1.2633,1.460490476190476,-0.1775926046481349,0.9286746999999996
2022-11-09,5.71109767425073,0.07,3.0,4.0,0.1030000000000002,-0.0257470428679538,1.3862943611198906,0,1,250.0,5.521460917862246,1.0,11,0.31247072,0.2796074604636363,1.2633,1.460490476190476,-0.1775926046481349,0.9286746999999996
2022-11-09,0.9902164764840292,0.25,3.125,5.0,0.2339999999999999,0.1525681006657515,1.6094379124341005,0,1,250.0,5.521460917862246,1.0,11,0.31247072,0.2796074604636363,1.2633,1.460490476190476,-0.1775926046481349,0.9286746999999996
2022-11-09,12.42494302027382,1.3,4.0,4.0,1.1030000000000002,0.1125969260611501,1.3862943611198906,1,4,750.0,6.620073206530356,7.0,11,0.31247072,0.2796074604636363,1.2633,1.460490476190476,-0.1775926046481349,0.9286746999999996
2022-11-09,18.88639912695933,2.0,4.7,7.0,1.8080000000000007,0.6041198335471029,1.9459101490553128,0,4,500.0,6.214608098422191,5.0,11,0.31247072,0.2796074604636363,1.2633,1.460490476190476,-0.1775926046481349,0.9286746999999996
2022-11-09,0.3781620360979412,1.35,4.0,5.0,1.109,0.3697598041441062,1.6094379124341005,0,2,1000.0,6.907755278982137,6.0,11,0.31247072,0.2796074604636363,1.2633,1.460490476190476,-0.1775926046481349,0.9286746999999996
2022-11-09,30.246240873584288,3.05,5.75,6.0,2.858,0.7698193839818595,1.791759469228055,0,4,750.0,6.620073206530356,10.0,11,0.31247072,0.2796074604636363,1.2633,1.460490476190476,-0.1775926046481349,0.9286746999999996
2022-11-14,5.061107336190131,0.06,2.75,3.0,-0.1204999999999998,-0.0020482308336907,1.0986122886681098,0,1,1750.0,7.467371066917559,8.5,11,0.3251235804,0.2941762661045454,1.1169,1.4307045454545455,-0.2975029876092836,1.0808185999999995
2022-11-14,-13.878602414668748,0.8,3.125,7.0,0.3085,0.3758563119252802,1.9459101490553128,1,4,500.0,6.214608098422191,8.5,11,0.3251235804,0.2941762661045454,1.1169,1.4307045454545455,-0.2975029876092836,1.0808185999999995
2022-11-14,-7.740290567721454,0.45,3.0,3.0,0.1295000000000001,0.3763288002659888,1.0986122886681098,1,4,500.0,6.214608098422191,8.5,11,0.3251235804,0.2941762661045454,1.1169,1.4307045454545455,-0.2975029876092836,1.0808185999999995
2022-11-14,4.072473796686048,0.17,2.875,5.0,0.0584999999999999,0.0329770563888745,1.6094379124341005,0,1,1000.0,6.907755278982137,8.5,11,0.3251235804,0.2941762661045454,1.1169,1.4307045454545455,-0.2975029876092836,1.0808185999999995
2022-11-15,-5.633525977706122,0.8,3.25,3.0,0.4794999999999998,0.0111769255807888,1.0986122886681098,0,2,1000.0,6.907755278982137,8.5,11,0.3399819549,0.2988134449380952,1.1999,1.399425,-0.1900229512623193,0.9711877999999996
2022-11-15,1.742712952741113,1.7,4.049,7.0,1.3465000000000007,0.7101809309700117,1.9459101490553128,1,4,500.0,6.214608098422191,7.0,11,0.3399819549,0.2988134449380952,1.1999,1.399425,-0.1900229512623193,0.9711877999999996
2022-11-15,7.073601498072121,1.3,3.625,4.0,0.9034999999999996,0.7817473636584417,1.3862943611198906,1,4,500.0,6.214608098422191,7.0,11,0.3399819549,0.2988134449380952,1.1999,1.399425,-0.1900229512623193,0.9711877999999996
2022-11-15,-4.210599229081475,0.35,3.106,5.0,0.4034999999999997,0.1706524593121497,1.6094379124341005,0,1,750.0,6.620073206530356,8.5,11,0.3399819549,0.2988134449380952,1.1999,1.399425,-0.1900229512623193,0.9711877999999996
2022-11-15,-0.8351189492079083,0.7,3.125,6.0,0.4245000000000001,-0.0529440761161125,1.791759469228055,1,4,750.0,6.620073206530356,8.0,11,0.3399819549,0.2988134449380952,1.1999,1.399425,-0.1900229512623193,0.9711877999999996
2022-11-15,-7.586097649908948,0.95,3.375,10.0,0.6164999999999994,-0.0502399135573955,2.302585092994046,1,4,750.0,6.620073206530356,8.0,11,0.3399819549,0.2988134449380952,1.1999,1.399425,-0.1900229512623193,0.9711877999999996
2022-11-15,13.412373340347242,2.55,5.035,4.0,2.3135,0.689189558841183,1.3862943611198906,0,2,300.0,5.703782474656201,9.0,11,0.3399819549,0.2988134449380952,1.1999,1.399425,-0.1900229512623193,0.9711877999999996
2022-11-15,23.91662528309909,2.2,4.75,4.5,2.04048938081302,0.6739606934343461,1.5040773967762742,0,4,500.0,6.214608098422191,7.0,11,0.3399819549,0.2988134449380952,1.1999,1.399425,-0.1900229512623193,0.9711877999999996
2022-11-16,2.505998402312005,0.6,3.0,4.0,0.2919999999999998,0.1637941003729262,1.3862943611198906,1,4,750.0,6.620073206530356,7.0,11,0.3323645797999999,0.3003384965227272,1.2862,1.3940333333333332,-0.0935231517372611,1.0712483999999995
2022-11-17,7.472017452792066,1.0,3.25,3.0,0.4399999999999999,0.134426293444097,1.0986122886681098,1,4,500.0,6.214608098422191,5.0,11,0.3186537444,0.3023611980136363,1.3083,1.384704761904762,-0.1445664966653589,1.2248766999999996
2022-11-18,13.83382932512948,1.5,4.0,10.0,1.229,0.5107977853477408,2.302585092994046,0,2,1500.0,7.313220387090301,6.0,11,0.2958560243,0.3015961431,1.3218,1.3782238095238095,-0.1258514648502083,1.1658136999999995
2022-11-21,2.5513611504194817,0.15,2.875,2.0,-0.0024999999999999,0.0617751774951924,0.6931471805599453,0,1,750.0,6.620073206530356,1.0,11,0.2838219284,0.2996066905454545,1.2933,1.3694619047619048,-0.1492007104795736,1.2478806999999996
2022-11-21,32.00201917309268,1.75,4.125,3.0,1.3125,0.6932823745949921,1.0986122886681098,1,4,750.0,6.620073206530356,10.0,11,0.2838219284,0.2996066905454545,1.2933,1.3694619047619048,-0.1492007104795736,1.2478806999999996
2022-11-22,23.103986470415432,1.35,3.625,3.0,0.851,0.0971561580623995,1.0986122886681098,0,4,500.0,6.214608098422191,8.0,11,0.3081922736,0.2966477801142857,1.3213,1.34772,-0.1380390110248548,1.0670084999999996
2022-11-22,5.78639182299343,3.0,5.375,5.0,2.68,0.498702156216028,1.6094379124341005,0,3,500.0,6.214608098422191,8.5,11,0.3081922736,0.2966477801142857,1.3213,1.34772,-0.1380390110248548,1.0670084999999996
2022-11-22,4.126167355229307,0.4,3.05,5.5,0.3627935283924048,0.2947008277375607,1.7047480922384253,0,1,750.0,6.620073206530356,2.0,11,0.3081922736,0.2966477801142857,1.3213,1.34772,-0.1380390110248548,1.0670084999999996
2022-11-22,9.22692003022578,1.25,3.5,6.5,0.8244656708212044,0.3272771816661132,1.8718021769015916,1,4,750.0,6.620073206530356,9.0,11,0.3081922736,0.2966477801142857,1.3213,1.34772,-0.1380390110248548,1.0670084999999996
2022-11-22,16.174097536616465,1.925,4.25,10.0,1.5500000000000005,0.5655435359564547,2.302585092994046,0,3,500.0,6.214608098422191,7.0,11,0.3081922736,0.2966477801142857,1.3213,1.34772,-0.1380390110248548,1.0670084999999996
2022-11-23,1.6048643096874784,1.45,3.75,10.0,1.0969999999999995,0.4224935305832875,2.302585092994046,0,2,1500.0,7.313220387090301,8.5,11,0.2976284034,0.2966923539,1.3353,1.3471285714285717,-0.1005658089721137,1.0851240999999996
2022-11-23,-15.294802220881827,1.275,3.625,5.0,0.944,0.156644407503416,1.6094379124341005,1,4,625.0,6.437751649736401,9.0,11,0.2976284034,0.2966923539,1.3353,1.3471285714285717,-0.1005658089721137,1.0851240999999996
2022-11-28,8.556570086393329,2.25,4.625,6.0,1.9329999999999992,0.315050420297614,1.791759469228055,0,2,500.0,6.214608098422191,9.0,11,0.3005493603,0.2927118857863636,1.296,1.326385,-0.1936286709805873,1.0291274999999998
2022-11-29,6.9296029952092,0.2,2.75,5.0,0.0769999999999999,0.0696484062236659,1.6094379124341005,0,1,1000.0,6.907755278982137,1.0,11,0.3105439012,0.2961083774904762,1.3173,1.3142736842105265,-0.1505674490585505,0.8220569999999996
