	LinearRegressionModel	RidgeRegressionModel	LassoRegressionModel	SVRModel	RandomForestModel	GBRTModel	XGBModel	CatBoost
LinearRegressionModel	nan	0.8393412217238337	0.42260446111928684	0.9911967599433315	0.834891304825202	0.7563600912507809	0.848815521309797	0.9558043469166982
RidgeRegressionModel	0.1606587782761663	nan	0.19247110877054927	0.9894073770062863	0.8202996686108213	0.7399700933432909	0.8337815717195953	0.9522012595833622
LassoRegressionModel	0.5773955388807132	0.8075288912294507	nan	0.990806098592824	0.8421623643357918	0.7587008418196476	0.8538866268821416	0.9554890382630024
SVRModel	0.008803240056668472	0.010592622993713701	0.009193901407176118	nan	0.053488781181952647	0.10699762664852559	0.0920014835537481	0.43884525406165376
RandomForestModel	0.16510869517479781	0.17970033138917874	0.1578376356642081	0.9465112188180476	nan	0.5262483788847903	0.5459736063697744	0.8528966349973498
GBRTModel	0.243639908749219	0.26002990665670905	0.24129915818035252	0.8930023733514745	0.4737516211152097	nan	0.4798106129102938	0.9232860886763085
XGBModel	0.15118447869020293	0.16621842828040453	0.14611337311785838	0.9079985164462518	0.45402639363022557	0.5201893870897063	nan	0.855336150046958
CatBoost	0.0441956530833018	0.04779874041663774	0.044510961736997603	0.5611547459383461	0.14710336500265025	0.07671391132369161	0.14466384995304205	nan
