initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,spreadDiscount,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating,month,zSpread,zSpreadTrailing,MOVE,MOVETrailing,MOVERetsTrailing,iboxxRetsTrailing
1.45,4.125,8.0,1.138,-0.5418028836829157,2.079441541679836,0,2,1000.0,6.907755278982137,5.0,1,0.4218247223,0.3556395901318182,1.2161,1.2261285714285717,-0.0704731330734541,0.2518498999999997
0.9,0.843,12.0,0.681,-0.0348946518818186,2.4849066497880004,0,4,750.0,6.620073206530356,7.0,4,0.2242185579999999,0.2357057771619047,0.6179,0.6618714285714286,-0.0100929189362384,0.0967587999999993
0.65,1.0,6.0,0.429,0.1731565355462213,1.791759469228055,1,4,600.0,6.396929655216146,7.0,10,0.3729485536,0.3241168762086956,0.543741,0.4961603333333333,0.1074154786150711,-1.2024482000000003
0.17,0.5,5.0,0.08,0.0850236343543591,1.6094379124341005,0,1,500.0,6.214608098422191,1.0,9,0.3041694606,0.32085769451,0.483059,0.4858037,-0.0459073833403779,1.5109610999999996
2.95,5.75,5.0,2.6905,0.1566867511264848,1.6094379124341005,0,2,500.0,6.214608098422191,10.0,10,0.345759479,0.25977423785,1.5695,1.5088714285714286,0.2642983728048975,-0.1431089000000003
0.2,3.0,7.5,0.0943205050583975,0.0318150514335793,2.0149030205422647,0,1,500.0,6.214608098422191,1.0,1,0.3801894390999999,0.3813659227681818,1.1667,1.2069894736842106,-0.1433920704845814,0.2038145999999996
1.9,1.8,30.0,1.665,0.5203564268019625,3.4011973816621555,1,4,750.0,6.620073206530356,6.0,9,0.3370811561,0.3516006625521739,0.852653,0.8442074285714286,0.3983878374389085,-0.1660414000000004
0.05,0.01,10.0,0.105,-0.0931620483038782,2.302585092994046,0,1,1000.0,6.907755278982137,1.0,9,0.3096395553,0.3295190582608695,0.796633,0.8360495714285714,0.0776786632251642,0.8689663999999996
1.75,1.25,10.0,1.345,0.3720882212843202,2.302585092994046,0,3,1000.0,6.907755278982137,7.0,5,0.6603985296,0.688043503925,0.5167,0.5598000000000001,-0.3187870797626895,0.8866206999999994
1.225,4.125,3.0,1.0009999999999994,0.6006696456638132,1.0986122886681098,0,2,500.0,6.214608098422191,8.5,2,0.3430386879,0.3684534466571428,1.0563,1.092305,-0.0814782608695652,0.5879277999999997
1.05,0.25,7.0,0.5219,0.0975380752468207,1.9459101490553128,1,4,350.0,5.857933154483459,9.0,2,0.2280141453,0.2615630732260869,0.4595,0.4548285714285714,-0.0032537960954446,0.3031027999999994
2.2,4.0,5.0,1.912,0.6653467379895749,1.6094379124341005,0,4,500.0,6.214608098422191,9.0,6,0.2929687483,0.2957245726238095,1.3322,1.2049,0.1220416070074958,-0.1580769000000005
1.2,0.625,5.0,0.78,0.4918852491040675,1.6094379124341005,1,2,500.0,6.214608098422191,8.0,6,0.3650033978999999,0.385908200890909,0.6842579999999999,0.6390720952380952,0.3831469282065689,0.2020811999999995
1.7,0.878,7.0,1.243,1.3978228291620816,1.9459101490553128,1,4,600.0,6.396929655216146,8.5,11,0.2746413927,0.325730014247826,0.4307999999999999,0.5329238095238095,0.0778083562672002,0.5915307999999995
0.12,0.45,4.0,0.067,0.0656844506094338,1.3862943611198906,0,1,2200.0,7.696212639346407,1.0,3,0.1943695603999999,0.2299048571904761,1.4003,1.007385,0.7281253856596321,-1.3740046000000004
0.9,0.125,5.0,0.69,0.8906005901641457,1.6094379124341005,1,4,1000.0,6.907755278982137,8.0,8,0.3660047474,0.3095494862363636,0.8721939999999999,0.6772928181818182,0.2714253852422095,-1.0021896000000003
0.65,0.0,6.0,0.3949999999999999,0.2394283852618869,1.791759469228055,1,4,700.0,6.551080335043404,8.5,1,0.2611169989,0.284241312068421,0.4481,0.46179,0.0573383671543181,0.3263088999999994
0.9,3.5,5.0,0.5080000000000005,0.4616340750359534,1.6094379124341005,1,4,800.0,6.684611727667927,8.5,1,0.4110785802,0.3649055580913043,1.2578,1.232865,-0.0274491610608521,0.2887123999999997
0.05,1.25,15.0,-0.066,-0.0580996401059932,2.70805020110221,0,1,500.0,6.214608098422191,1.0,10,0.3388392669,0.3120313048333333,0.442847,0.47751785,-0.1264466445342628,0.7051774999999997
0.14,2.5,10.0,0.04,-0.0297252760366384,2.302585092994046,0,1,500.0,6.214608098422191,8.5,9,0.2805449168,0.2251200311227273,1.2154,1.2401285714285717,0.0134244976236137,0.1569771999999996
0.55,0.0,3.9,0.2195588266820606,0.2226440405207769,1.3609765531356006,1,4,750.0,6.620073206530356,9.0,1,0.3109377395,0.2974433356722222,0.6049,0.5828909090909091,0.049809094064561,0.3913958999999996
0.15,0.625,12.0,0.023,0.0537650563431527,2.4849066497880004,0,1,1000.0,6.907755278982137,1.0,5,0.381265848,0.3668151863526315,0.569732,0.5136141904761905,0.1020941901987411,-1.1126572000000006
2.1,1.375,6.5,1.6718549838711083,0.3130334047511908,1.871802176901592,1,4,700.0,6.551080335043404,10.0,8,0.4272389622,0.4343378199636363,0.4799,0.4394900909090909,0.0193288020390824,0.5171247999999995
0.2,0.0,4.0,0.285,-0.0131776437358828,1.3862943611198906,1,4,300.0,5.703782474656201,3.0,2,0.2701149461,0.2888912999,0.6406999999999999,0.5943545454545455,0.0985939643347049,0.3408874999999996
0.01,0.05,10.0,-0.035,0.0427762508253475,2.302585092994046,0,1,500.0,6.214608098422191,1.0,4,0.2552351894,0.2415922625181817,0.5998,0.625859090909091,-0.1531836792319638,0.0992124999999994
0.6,0.01,7.0,0.305,0.0906715459940686,1.9459101490553128,0,2,500.0,6.214608098422191,5.0,2,0.2299718392999999,0.2636958681304348,0.4627,0.4568142857142857,0.0223155103844454,0.2489905999999994
1.65,2.25,8.0,1.5363999999999998,0.4475438173505325,2.079441541679836,1,4,1500.0,7.313220387090301,7.0,11,0.4077444709,0.3789039524227273,0.538998,0.5598083500000001,0.1675873094269484,0.4791469999999997
1.2,1.5,8.0,1.01,0.9207914980784888,2.079441541679836,1,4,1000.0,6.907755278982137,10.0,6,0.2119439471999999,0.2368500724954545,0.5163730000000001,0.5294071578947368,-0.1206810820751921,-0.3575473
0.625,0.75,7.0,0.415,0.0608316677321248,1.9459101490553128,1,4,1000.0,6.907755278982137,5.0,2,0.4171956839,0.4110153746818181,0.472184,0.4855644285714286,-0.1718641755104115,-0.2415488000000004
0.07,0.25,10.0,0.0699999999999999,-0.0205493863792449,2.302585092994046,0,1,500.0,6.214608098422191,1.0,1,0.2943928263,0.2954976084235294,0.5327000000000001,0.5715000000000001,-0.1035005048805115,0.3331509999999996
0.775,0.0,3.0,0.475,0.1829041148072933,1.0986122886681098,0,4,500.0,6.214608098422191,9.0,2,0.2210430790999999,0.2545179429565217,0.5678,0.46098,0.1592486729277256,0.7169701999999994
0.85,0.125,7.0,0.4899999999999999,-0.0021924362046241,1.9459101490553128,0,3,1000.0,6.907755278982137,7.0,12,0.3110767101,0.29663746695,0.4153,0.44982,-0.2745851528384279,0.9003191999999995
0.9,0.625,10.5,0.6360075144089962,0.4141308753530585,2.3513752571634776,1,4,500.0,6.214608098422191,7.0,2,0.2721367111,0.2823245083181818,0.6352,0.6107181818181817,0.089910775566232,0.1830368999999995
1.375,1.0,8.0,1.035,0.2860659232245967,2.079441541679836,1,4,500.0,6.214608098422191,10.0,5,0.2698079645,0.2522821632363636,0.5693,0.6054818181818181,-0.062263218580135,-0.0032607000000006
0.725,0.1,7.0,0.4549999999999999,0.1516850088497714,1.9459101490553128,0,2,750.0,6.620073206530356,6.0,10,0.4010762638,0.4152801139272727,0.3921,0.4186714285714285,-0.1487190620929223,0.0107609999999994
1.3,4.5,12.0,1.226,0.5961474348196785,2.4849066497880004,1,4,500.0,6.214608098422191,8.5,3,0.3359700116999999,0.3603698625772727,1.236,1.0913190476190475,0.0885072655217964,0.2663542999999996
0.11,0.75,8.0,0.029,-0.0513033378690804,2.079441541679836,0,1,1000.0,6.907755278982137,1.0,11,0.4251187382999999,0.383674687040909,0.604328,0.5685536000000001,0.3324543319846982,0.2696326999999997
1.025,0.95,10.0,0.7689999999999999,0.4763433223306472,2.302585092994046,0,4,625.0,6.437751649736401,8.0,5,0.2942121765,0.2597516140363636,0.5801,0.5969590909090909,-0.1398279952550415,0.1242240999999993
3.1,2.625,8.0,2.74,0.8639570144601052,2.079441541679836,1,4,599.9,6.396762974659048,9.0,4,0.7165878571000001,0.695289318645,0.6984,0.8685,-0.2797029702970296,0.3196400999999996
1.025,1.0,12.0,0.7810000000000001,0.3003548166788006,2.4849066497880004,0,3,1000.0,6.907755278982137,9.0,5,0.3022671735,0.293833374340909,0.5372,0.5718863636363637,-0.1222222222222222,0.0494748999999993
1.05,0.375,4.0,0.83,0.4672286016368586,1.3862943611198906,1,4,1500.0,7.313220387090301,7.0,10,0.3175513791,0.3108689673619048,0.818598,0.8147166190476192,-0.1084966380679181,0.2202005999999995
0.95,0.5,5.0,0.645,0.7553867803275992,1.6094379124341005,1,4,500.0,6.214608098422191,8.5,10,0.2109962809,0.2250212648181818,0.6084,0.588895238095238,0.0116395078150981,0.1696801999999994
2.65,1.875,5.0,2.14,0.9162679563666292,1.6094379124341005,1,4,500.0,6.214608098422191,10.0,5,0.6780065042,0.7061470049190476,0.6009,0.5944681818181817,-0.0933916716958358,0.6323449999999995
1.45,1.0,5.0,1.145,0.400146193631713,1.6094379124341005,1,4,1000.0,6.907755278982137,3.0,3,0.6927706374,0.4938623181590909,1.3538,1.1704095238095238,1.0640341515474918,-3.4953494000000003
1.15,2.75,5.0,0.9930000000000004,0.1297586581064362,1.6094379124341005,0,4,800.0,6.684611727667927,7.0,6,0.2816967113,0.2499649577227272,1.0261,1.108647619047619,-0.2204664590139026,0.1781328999999994
0.08,0.875,15.0,0.013,0.0045660381097218,2.70805020110221,0,1,500.0,6.214608098422191,1.0,4,0.3675822323,0.3798107605045455,0.478937,0.5029072380952381,0.0143016281788455,0.1568264999999996
0.1,0.125,12.0,-0.037,0.0903149354353948,2.4849066497880004,0,1,500.0,6.214608098422191,4.0,3,0.2666750944,0.2485914389043478,0.6937000000000001,0.5827761904761906,0.6128807254126949,0.2502534999999993
0.8,0.625,6.0,0.473,0.171395789204958,1.791759469228055,0,3,750.0,6.620073206530356,7.0,1,0.2443898816999999,0.2225804326681818,0.7469,0.773447619047619,-0.1017438364401684,0.3991699999999994
