date,zSpreadTrailing
2017-01-02,0.2574981349
2017-01-03,0.2756730088
2017-01-04,0.28503155803333335
2017-01-05,0.29316730665
2017-01-06,0.29823515146
2017-01-09,0.30187388423333333
2017-01-10,0.30431272575714285
2017-01-11,0.3059980165625
2017-01-12,0.30792996917777776
2017-01-13,0.30977048444
2017-01-16,0.31170230706363633
2017-01-17,0.3119184877166667
2017-01-18,0.3125327711153846
2017-01-19,0.3135171053285714
2017-01-20,0.3150269511666667
2017-01-23,0.3161277731
2017-01-24,0.31679905223529414
2017-01-25,0.3175623053944444
2017-01-26,0.3195068763473684
2017-01-27,0.32157093304999995
2017-01-30,0.32468259451904763
2017-01-31,0.32685778909090907
2017-02-01,0.33289663095000005
2017-02-02,0.33665883534999996
2017-02-03,0.3405246776363636
2017-02-06,0.3464369185857143
2017-02-07,0.3493291146
2017-02-08,0.35296240405
2017-02-09,0.35556963432727273
2017-02-10,0.35883793494090904
2017-02-13,0.3625275252095238
2017-02-14,0.36229692404545455
2017-02-15,0.3643691281590909
2017-02-16,0.3667439553863636
2017-02-17,0.3693170744045455
2017-02-20,0.37328326858571426
2017-02-21,0.3736622682545454
2017-02-22,0.3756331920727272
2017-02-23,0.37769101493636364
2017-02-24,0.3788876939
2017-02-27,0.3795794034904762
2017-02-28,0.37854050056818184
2017-03-01,0.37747572474999996
2017-03-02,0.37613765998181814
2017-03-03,0.3728593202818182
2017-03-06,0.37001114753333336
2017-03-07,0.36887414330454543
2017-03-08,0.3667227423590909
2017-03-09,0.3638416342318182
2017-03-10,0.3619098581363636
2017-03-13,0.36001275418571427
2017-03-14,0.36030442020454545
2017-03-15,0.3595498120227273
2017-03-16,0.3601131067090909
2017-03-17,0.36059938230454547
2017-03-20,0.3605643907095238
2017-03-21,0.36097662912727274
2017-03-22,0.36014680833181817
2017-03-23,0.35872656408636366
2017-03-24,0.35672500229090914
2017-03-27,0.355383043
2017-03-28,0.35520620036363637
2017-03-29,0.3545618574090909
2017-03-30,0.3540647963
2017-03-31,0.35370602935
2017-04-03,0.35627525093333334
2017-04-04,0.3556965792136364
2017-04-05,0.3559041741409091
2017-04-06,0.3555636529409091
2017-04-07,0.35372656917272727
2017-04-10,0.3532138152190476
2017-04-11,0.3533319144272727
2017-04-12,0.35282755299545454
2017-04-13,0.3524117869818182
2017-04-18,0.35039215007999996
2017-04-19,0.349381946825
2017-04-20,0.34819411087499996
2017-04-21,0.34759533828
2017-04-24,0.34534267248947365
2017-04-25,0.34248429995499996
2017-04-26,0.34029609244
2017-04-27,0.337478546685
2017-04-28,0.335141257845
2017-04-30,0.33108172203684205
2017-05-02,0.32899508570999997
2017-05-03,0.32534109071
2017-05-04,0.32149125078499996
2017-05-05,0.3174733748
2017-05-08,0.3128886593368421
2017-05-09,0.31125100524500005
2017-05-10,0.3085605683
2017-05-11,0.30613850105
2017-05-12,0.30326710532
