date,zSpread
2017-01-02,0.2574981349
2017-01-03,0.2938478827
2017-01-04,0.3037486565
2017-01-05,0.3175745525
2017-01-06,0.3185065307
2017-01-09,0.3200675481
2017-01-10,0.3189457749
2017-01-11,0.3177950522
2017-01-12,0.32338559009999995
2017-01-13,0.32633512179999996
2017-01-16,0.3310205333
2017-01-17,0.3142964749
2017-01-18,0.3199041719
2017-01-19,0.32631345009999996
2017-01-20,0.3361647929
2017-01-23,0.3326401021
2017-01-24,0.3275395184
2017-01-25,0.3305376091
2017-01-26,0.3545091535
2017-01-27,0.3607880104
2017-01-30,0.3869158239
2017-01-31,0.3725368751
2017-02-01,0.3903526558
2017-02-02,0.3766163795
2017-02-03,0.3887971868
2017-02-06,0.4197134655
2017-02-07,0.4100652309
2017-02-08,0.399999916
2017-02-09,0.37630484099999995
2017-02-10,0.3896976657
2017-02-13,0.3683641726
2017-02-14,0.3574542996
2017-02-15,0.37660902380000005
2017-02-16,0.3665426739
2017-02-17,0.37651279029999996
2017-02-20,0.3764512464
2017-02-21,0.38162126129999996
2017-02-22,0.3760004261
2017-02-23,0.3728116214
2017-02-24,0.3568645463
2017-02-27,0.35093537140000003
2017-02-28,0.3567235392
2017-03-01,0.36349075589999996
2017-03-02,0.3430994502
2017-03-03,0.3182291824
2017-03-06,0.3327426183
2017-03-07,0.3449970545
2017-03-08,0.3723826447
2017-03-09,0.3466808521
2017-03-10,0.35750084190000003
2017-03-13,0.3642534656
2017-03-14,0.3664294066
2017-03-15,0.3517627926
2017-03-16,0.36984678270000004
2017-03-17,0.3873070869
2017-03-20,0.3817212584
2017-03-21,0.3696336359
2017-03-22,0.35819518889999996
2017-03-23,0.3503758879
2017-03-24,0.3319660666
2017-03-27,0.34477002030000004
2017-03-28,0.351492505
2017-03-29,0.3367598264
2017-03-30,0.3457881948
2017-03-31,0.355597883
2017-04-03,0.3615762565
2017-04-04,0.34354447309999997
2017-04-05,0.3373097067
2017-04-06,0.33750558810000003
2017-04-07,0.3319668018
2017-04-10,0.33968729179999996
2017-04-11,0.3558119978
2017-04-12,0.35315751409999996
2017-04-13,0.3572825543
2017-04-18,0.3637003502
2017-04-19,0.3615171933
2017-04-20,0.3458769169
2017-04-21,0.34621973699999997
2017-04-24,0.29194596619999996
2017-04-25,0.2881752218
2017-04-26,0.30100587
2017-04-27,0.2951415899
2017-04-28,0.2900140496
2017-04-30,0.28911363959999997
2017-05-02,0.2893489955
2017-05-03,0.2884963565
2017-05-04,0.2665476746
2017-05-05,0.256952187
2017-05-08,0.26488942130000004
2017-05-09,0.2801355775
2017-05-10,0.2858785529
2017-05-11,0.3073706528
2017-05-12,0.2957295995
2017-05-15,0.3009225259
2017-05-16,0.2943734254
2017-05-17,0.2850048222
2017-05-18,0.2783710784
2017-05-19,0.27100211609999997
2017-05-22,0.2671155787
2017-05-23,0.2598517293
2017-05-24,0.2561544725
2017-05-25,0.2491443746
2017-05-26,0.2441284413
2017-05-29,0.24938534610000002
2017-05-30,0.2540447766
2017-05-31,0.2509272766
2017-06-01,0.2561129049
2017-06-02,0.2515893273
2017-06-05,0.2592066
2017-06-06,0.2479286482
2017-06-07,0.2593828344
2017-06-08,0.23737530280000002
2017-06-09,0.23048392490000003
2017-06-12,0.21320250059999998
2017-06-13,0.203664579
2017-06-14,0.20518702300000002
