Download_Date;Price_Type;ISIN_Cpi;ISIN_Tri;Code_Cpi;Code_Tri;Name;Cpi_Today;Tri_Today;Cpi_Yesterday;Tri_Yesterday;Cost_Factor_TRi;Cash;Cost_Factor_CPi;Interest_on_Cash;Simple_Margin;Discount_Margin;Duration;Duration_to_Maturity;Portfolio_Duration;Portfolio_Duration_to_Maturity;Annual_Yield;Annual_Yield_to_Maturity;Annual_Modified_Duration;Annual_Modified_Duration_to_Maturity;Annual_Convexity;Annual_Convexity_to_Maturity;Annual_Portfolio_Yield;Annual_Portfolio_Yield_to_Maturity;Annual_Portfolio_Modified_Duration;Annual_Portfolio_Modified_Duration_to_Maturity;Annual_Portfolio_Convexity;Annual_Portfolio_Convexity_to_Maturity;Semi_Annual_Yield;Semi_Annual_Yield_to_Maturity;Semi_Annual_Modified_Duration;Semi_Annual_Modified_Duration_to_Maturity;Semi_Annual_Convexity;Semi_Annual_Convexity_to_Maturity;Semi_Annual_Portfolio_Yield;Semi_Annual_Portfolio_Yield_to_Maturity;Semi_Annual_Portfolio_Modified_Duration;Semi_Annual_Portfolio_Modified_Duration_to_Maturity;Semi_Annual_Portfolio_Convexity;Semi_Annual_Portfolio_Convexity_to_Maturity;OAS;Effective_duration;OA_Convexity;z_spread;Z_Spread_Over_Libor;Expected_Remaining_Life;Coupon;Nominal_Value;Market_Value;Base_Market_Value;Level_0;Level_1;Level_2;Level_3;Level_4;Level_5;Level_6;Level_7;Level_8;Markit_iBoxx_Rating;Seniority_Level_1;Seniority_Level_2;Seniority_Level_3;Paid_Cash;Annual_Index_Benchmark_Spread;Semi_annual_Index_Benchmark_Spread;Annual_Benchmark_Spread_to_BM_Curve;Semi_Annual_Benchmark_Spread_to_BM_Curve;Asset_Swap_Margin;DV_01;FX_Version;Index_Currency;Tax_Consideration;Daily_Return;Month_to_Date_Return;Quarter_to_Date_Return;Year_to_Date_Return;bkt_1_3_Years;bkt_1_5_Years;bkt_1_10_Years;bkt_1_15_Years;bkt_1_20_Years;bkt_3_5_Years;bkt_5_7_Years;bkt_5_10_Years;bkt_5_15_Years;bkt_7_10_Years;bkt_10_15_Years;bkt_15_20_Years;bkt_15_25_Years;bkt_20_25_Years;bkt_25_30_Years;bkt_5p_Years;bkt_7p_Years;bkt_10p_Years;bkt_15p_Years;bkt_25p_Years;bkt_30p_Years;Gross_Price_Index;Coupon_Income_Index;Redemption_Income_Index;Income_Index;Number_of_Bonds;Daily_excess_return_over_sovereigns;Daily_excess_return_over_LIBOR;Month_to_date_excess_return_over_sovereigns;Month_to_date_excess_return_over_LIBOR;Duration_weighted_exposure;Import_Date;Asset_Swap_Spread_Euribor;Daily_Excess_Return_over_Euribor;Month_to_date_Excess_Return_over_Euribor;Month_to_date_Excess_Return_over_RFR;Daily_Excess_Return_over_RFR;Asset_Swap_Spread;Z_Spread_Over_RFR
2017-01-02 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;108.8589055;229.012212;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.645206117;6.650569307;6.64520188;6.650565066;0.843222;0.843912102;6.590136143;6.595409498;83.29812339;83.37879851;0.843221463;0.843911564;6.590131941;6.595405292;83.29807027;83.37874534;0.839561282;0.84024947;6.617551788;6.622869901;80.99729992;81.07649527;0.839560747;0.840248934;6.617547569;6.622865678;80.99724827;81.07644357;72.16912992;6.604902764;77.11999638;72.23302823;25.74981349;7.398368015;2.66726125;8.24327E+12;9.5273E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;6075000;73.95007341;73.66589731;73.50927244;73.22544914;27.39575898;0.13373002;Local;EUR;Gross;0.00062219;0.00062219;0.00062219;0.00062219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.7465221;6.87E-05;0;6.87E-05;3334;-0.000802033;-0.005430192;1.00068026;1.000450532;0.981236124;07.10.2018 05:39;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-03 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;108.2597153;227.7811882;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.600440108;6.605593058;6.600435877;6.605588823;0.919078834;0.919710029;6.540851994;6.545917189;81.94207698;82.01849048;0.919078245;0.91970944;6.540847801;6.545912992;81.94202445;82.0184379;0.914966154;0.915595602;6.570512987;6.575621899;79.72488187;79.79989295;0.914965568;0.915595015;6.570508775;6.575617683;79.72483076;79.79984179;73.15512542;6.55875639;75.92566057;73.21565381;29.38478827;7.395628113;2.66726125;8.24327E+12;9.47608E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;6075000;74.94605851;74.62779658;74.49526368;74.17754025;31.14607667;0.130257481;Local;EUR;Gross;-0.005375363;-0.004756518;-0.004756518;-0.004756518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.167345;6.87E-05;0;6.87E-05;3334;0.000302825;-0.002019387;1.00098329;0.998430236;0.991661066;06.10.2018 18:49;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-04 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;108.1780784;227.6259772;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.593537736;6.598679243;6.588358057;6.593495525;0.928687918;0.929313716;6.533396604;6.538450368;81.63932799;81.71547825;0.92795837;0.928583676;6.52826417;6.533313964;81.57519467;81.6512851;0.924505228;0.925129319;6.563331992;6.568429466;79.43543942;79.51019225;0.923778965;0.924402566;6.558176041;6.563269511;79.3730374;79.4477315;73.62674552;6.551047739;75.62112514;73.6881303;30.37486565;7.39288821;2.66726125;8.24327E+12;9.46219E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;7439050698;75.43675131;75.11435669;74.96691558;74.64509337;32.22482734;0.12940074;Local;EUR;Gross;-0.000681404;-0.005434681;-0.005434681;-0.005434681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.0102594;0.084130032;0;0.084130032;3334;-8.09E-05;-0.000605341;1.000902304;0.997825845;0.992964285;06.10.2018 20:44;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-05 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;108.1425484;227.566608;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.597636911;6.60292873;6.592441335;6.597728987;0.931892631;0.932522593;6.537250464;6.542452693;81.81793601;81.89635316;0.931158774;0.93178824;6.532102442;6.537300575;81.75350517;81.83186056;0.927695695;0.928323982;6.567308017;6.572554878;79.6072802;79.68425067;0.926965144;0.927592936;6.562136325;6.567379054;79.54459024;79.62150009;75.42846569;6.557329853;75.83270672;75.48880754;31.75745525;7.390148138;2.66726125;8.24327E+12;9.45971E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;7455300698;77.15992817;76.82600919;76.71580589;76.38237966;33.61844676;0.130078587;Local;EUR;Gross;-0.000260819;-0.005694083;-0.005694083;-0.005694083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106.9821434;0.084313807;0;0.084313807;3334;-0.001828127;-0.00128748;0.999072527;0.996541165;0.993485739;04.10.2018 15:59;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-06 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;107.910107;227.0979284;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.580120409;6.585234011;6.574907891;6.580017442;0.962500537;0.963104539;6.517921382;6.522947308;81.32449228;81.39958375;0.961738081;0.962341605;6.512758135;6.517780079;81.26007014;81.33510212;0.958145467;0.95874781;6.548880505;6.553950105;79.14705503;79.22076013;0.957386461;0.957988327;6.543692733;6.548758318;79.08435777;79.15800449;74.36612602;6.538664365;75.37386606;74.42494434;31.85065307;7.387408066;2.66726125;8.24327E+12;9.44018E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;7484078505;76.12760239;75.78614322;75.67878783;75.33794288;33.62562241;0.128780849;Local;EUR;Gross;-0.002059527;-0.007741883;-0.007741883;-0.007741883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106.7613116;0.084639262;0;0.084639262;3334;0.001381842;0.000374535;1.000453087;0.996914405;0.997555409;06.10.2018 21:15;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-09 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;107.9818798;227.2905744;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.573713502;6.578836929;6.568473943;6.573593286;0.951648108;0.952261355;6.51227251;6.51730815;81.24810835;81.32321507;0.950889599;0.951502358;6.507081922;6.512113549;81.18334978;81.25839664;0.947354605;0.947966159;6.542854712;6.547934083;79.06664924;79.14036343;0.946599518;0.947210585;6.537639748;6.542715071;79.0036294;79.07728483;73.44965159;6.53175625;75.30257399;73.5086312;32.00675481;7.379187842;2.66726125;8.24327E+12;9.44814E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;7536622970;75.17597299;74.8419949;74.73169137;74.39829836;33.87293918;0.128819945;Local;EUR;Gross;0.000848295;-0.006900155;-0.006900155;-0.006900155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106.8513543;0.0852335;0;0.0852335;3334;0.00077049;-0.000122062;1.001223926;0.996792719;0.995898721;05.10.2018 00:44;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-10 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;108.0418706;227.4297594;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.576317199;6.581453653;6.570927544;6.576059789;0.943772293;0.944392353;6.515354538;6.520403021;81.36938999;81.44487291;0.94299882;0.943618371;6.510014845;6.515059191;81.30270328;81.37812434;0.939537732;0.940156062;6.5456994;6.550791706;79.18001509;79.25410155;0.938767729;0.939385552;6.540334838;6.54542297;79.1151227;79.18914843;73.09806848;6.534676845;75.40004566;73.15729282;31.89457749;7.376447764;2.66726125;8.24327E+12;9.45372E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;7754197970;74.86165107;74.53167976;74.40744718;74.07804031;33.8086697;0.129197545;Local;EUR;Gross;0.000612366;-0.006292015;-0.006292015;-0.006292015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106.914378;0.087694109;0;0.087694109;3334;0.000160899;3.13E-05;1.001385022;0.996823922;0.994725745;05.10.2018 13:04;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-11 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;108.1985516;227.7699298;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.585374936;6.59058382;6.579733767;6.58493819;0.923219985;0.923855102;6.525646388;6.530766639;81.68703071;81.76347558;0.922429136;0.923063709;6.520056385;6.52517225;81.61705591;81.6934353;0.919121472;0.919754804;6.555378368;6.560542773;79.47638847;79.55140569;0.918334134;0.918966923;6.549762895;6.554922876;79.40830735;79.48326031;72.4224371;6.5442414;75.67715475;72.48239515;31.77950522;7.373707679;2.66726125;8.24327E+12;9.46751E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;8117013965;74.19703348;73.87666247;73.73773221;73.41788775;33.77544284;0.130092086;Local;EUR;Gross;0.001495717;-0.004805709;-0.004805709;-0.004805709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.0703196;0.091797283;0;0.091797283;3334;0.000226699;-8.88E-05;1.001612035;0.996735378;0.991805353;06.10.2018 00:15;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-12 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;108.2078056;227.803651;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.581278166;6.586643864;6.575429498;6.580790428;0.920370084;0.921011922;6.521778095;6.527053454;81.5867649;81.66581394;0.919552167;0.920193435;6.515982304;6.521252975;81.51426015;81.59323894;0.916256824;0.91689696;6.551395464;6.556715829;79.37600151;79.4535687;0.915442562;0.91608213;6.545573352;6.550888989;79.30546143;79.38295969;73.50622935;6.540243004;75.58253352;73.5662018;32.33855901;7.370967583;2.66726125;8.24327E+12;9.4686E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;8422068384;75.32876793;75.00570966;74.8633754;74.54078922;34.31378798;0.129941583;Local;EUR;Gross;0.000148049;-0.004658371;-0.004658371;-0.004658371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.0827349;0.095247218;0;0.095247218;3334;-0.000842069;-0.000366145;1.000768609;0.996370428;0.991504798;07.10.2018 08:19;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2017-01-13 00:00:00.000;Nominal;DE000A0Z27U8;DE000A0Z27V6;7A0Y;7AXV;iBoxx € Overall ex-Subordinated;107.9985917;227.3832534;108.8043351;228.8698116;1;0;1;0;NULL;NULL;6.560527601;6.565765034;6.554518652;6.559751288;0.946923261;0.947541061;6.499515747;6.504664334;80.96117233;81.03742842;0.946055951;0.946673185;6.493562681;6.498706551;80.887018;80.96320424;0.942645451;0.94326163;6.529884162;6.53507701;78.78362485;78.85843284;0.941782059;0.942397674;6.52390328;6.529091371;78.71146499;78.78620445;73.28861846;6.518024307;74.97872898;73.34806474;32.63351218;7.368227475;2.66726125;8.24327E+12;9.45087E+12;9.52138E+12;EUR;*;*;*;*;*;*;*;*;*;EXX#SUB;*;*;8664222416;75.11125245;74.77999838;74.6392725;74.30857826;34.57920456;0.128355686;Local;EUR;Gross;-0.001845438;-0.006495213;-0.006495213;-0.006495213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106.882206;0.097985796;0;0.097985796;3334;0.00075615;0.000143613;1.00152534;0.99651352;0.995090266;05.10.2018 06:59;NULL;NULL;NULL;NULL;NULL;NULL;NULL
