date,iboxxRetsTrailing
2017-01-02,-0.08020329999999999
2017-01-03,-0.04992079999999999
2017-01-04,-0.058010799999999994
2017-01-05,-0.2408235
2017-01-06,-0.10263929999999997
2017-01-09,-0.025590299999999983
2017-01-10,-0.009500399999999982
2017-01-11,0.013169500000000016
2017-01-12,-0.07103739999999999
2017-01-13,0.004577600000000019
2017-01-16,-0.06489329999999997
2017-01-17,-0.08066659999999998
2017-01-18,-0.01014789999999997
2017-01-19,0.01388980000000003
2017-01-20,0.14300740000000003
2017-01-23,0.01047260000000003
2017-01-24,0.08155320000000003
2017-01-25,0.14730540000000003
2017-01-26,0.004338700000000042
2017-01-27,-0.14057959999999994
2017-01-30,-0.32723399999999997
2017-01-31,-0.30645799999999995
2017-02-01,-0.19846359999999993
2017-02-02,-0.24998049999999994
2017-02-03,-0.34087369999999995
2017-02-06,-0.7362284999999998
2017-02-07,-0.6929387999999999
2017-02-08,-0.8333402999999999
2017-02-09,-0.7146019999999998
2017-02-10,-0.8181333999999998
2017-02-13,-0.7047783999999998
2017-02-14,-0.6207829999999999
2017-02-15,-0.49977529999999987
2017-02-16,-0.42267879999999985
2017-02-17,-0.7682675999999999
2017-02-20,-0.9551305
2017-02-21,-1.0395051999999998
2017-02-22,-1.062296
2017-02-23,-1.2927433
2017-02-24,-1.3745433999999999
2017-02-27,-0.8905123999999999
2017-02-28,-0.7369466999999998
2017-03-01,0.5045219
2017-03-02,0.5955885000000001
2017-03-03,0.7398771000000001
2017-03-06,0.7782827000000001
2017-03-07,0.6116557000000001
2017-03-08,1.0733103000000002
2017-03-09,1.1011546
2017-03-10,1.2353222
2017-03-13,1.1420545
2017-03-14,1.0298423
2017-03-15,0.9712538
2017-03-16,0.8702228
2017-03-17,0.7526790999999999
2017-03-20,1.0051595000000002
2017-03-21,1.1645542000000002
2017-03-22,1.1509452
2017-03-23,1.3744665
2017-03-24,1.5729845
2017-03-27,1.8137699999999999
2017-03-28,1.8605583
2017-03-29,1.5750412999999999
2017-03-30,1.3586529
2017-03-31,0.2572837
2017-04-03,-0.7920521
2017-04-04,-0.7877221
2017-04-05,-0.6699669
2017-04-06,-0.4812904000000002
2017-04-07,-0.5745386000000001
2017-04-10,-0.8846980000000001
2017-04-11,-1.0165418000000002
2017-04-12,-1.0126163
2017-04-13,-0.996293
2017-04-18,-0.9753408000000001
2017-04-19,-0.8456852000000001
2017-04-20,-0.8305523
2017-04-21,-0.8661626
2017-04-24,-0.15943320000000022
2017-04-25,-0.18502330000000022
2017-04-26,-0.37862630000000014
2017-04-27,-0.45485200000000015
2017-04-28,-0.30064100000000016
2017-04-30,-0.18501330000000013
2017-05-02,-0.4595011000000001
2017-05-03,0.3812800999999999
2017-05-04,0.6589332999999999
2017-05-05,0.8024834999999999
2017-05-08,0.8081492999999998
2017-05-09,0.8337352999999998
2017-05-10,1.0063155999999998
2017-05-11,1.0938392999999997
2017-05-12,1.1130959
2017-05-15,1.2937820999999998
2017-05-16,1.3843404999999998
2017-05-17,1.3175492999999998
2017-05-18,1.2825242
2017-05-19,1.2188755
2017-05-22,1.1587461
2017-05-23,1.2274002
2017-05-24,0.32588389999999995
2017-05-25,0.2996327
2017-05-26,0.36305429999999994
2017-05-29,0.14322729999999992
2017-05-30,0.15410199999999993
2017-05-31,0.16594519999999993
2017-06-01,-0.2306575
2017-06-02,-0.41832980000000003
2017-06-05,-0.8065326999999999
2017-06-06,-0.831093
2017-06-07,-0.8635076
2017-06-08,-0.7075431
2017-06-09,-0.5524371
2017-06-12,-0.3807496
2017-06-13,-0.32231380000000004
2017-06-14,-0.45494070000000003
2017-06-15,-0.4171894
2017-06-16,-0.38104190000000004
2017-06-19,-0.3580996
2017-06-20,-0.3413067000000001
2017-06-21,-0.3575473
2017-06-22,-0.4205014
2017-06-23,-0.3985135000000001
2017-06-26,-0.28352170000000004
2017-06-27,-0.20633840000000006
2017-06-28,0.04525809999999997
2017-06-29,0.07206169999999995
2017-06-30,0.09986219999999998
2017-07-03,0.3762585
2017-07-04,0.4011493
2017-07-05,0.2881785999999999
2017-07-06,0.35558569999999984
2017-07-07,0.3600237999999999
2017-07-10,0.047050699999999876
2017-07-11,0.07513849999999987
2017-07-12,-0.03356000000000013
2017-07-13,-0.09875580000000014
2017-07-14,-0.005973000000000133
2017-07-17,-0.02516720000000012
2017-07-18,-0.02829720000000012
2017-07-19,-0.12272950000000013
2017-07-20,-0.043037300000000125
2017-07-21,-0.06322800000000012
2017-07-24,-0.08377800000000013
2017-07-25,-0.012117600000000128
2017-07-26,-0.04513140000000013
2017-07-27,-0.14851550000000013
2017-07-28,-0.21711760000000013
2017-07-31,-0.26708500000000013
2017-08-01,-0.7103932000000002
2017-08-02,-0.1860887000000001
2017-08-03,-0.2529875000000001
2017-08-04,-0.2197105000000001
2017-08-07,-0.1902782000000001
2017-08-08,-0.14755140000000008
2017-08-09,-0.33035570000000014
2017-08-10,-0.41083940000000013
2017-08-11,-0.5442029000000002
2017-08-14,-0.4873606000000001
2017-08-15,-0.4676918000000001
2017-08-16,-0.5183479000000001
2017-08-17,-0.5168679
2017-08-18,-0.5706095000000001
2017-08-21,-0.6748361000000002
2017-08-22,-0.7622950000000002
2017-08-23,-0.8771798000000001
2017-08-24,-0.9523702000000002
2017-08-25,-0.9109764000000001
2017-08-28,-0.8644050000000002
2017-08-29,-0.9806311000000002
2017-08-30,-0.9617017
2017-08-31,-0.44974700000000006
2017-09-01,0.13084449999999992
2017-09-04,0.2105857999999999
2017-09-05,0.21187579999999992
