index,date,ticker,ISIN,Time_To_Maturity,Annual_Yield_to_Maturity,Payment_Rank,Duration,new_issue_isin
5911291,2023-03-22,PEP,XS2397367421,10.564383562,3.607086881,Sr Unsecured,10.081639716,XS2599730822
5911292,2023-03-22,TAP,XS1440976535,1.315068493,4.083517937,Sr Unsecured,1.302381699,XS2599730822
